"Comment","Designator","Footprint","JLCPCB Part #"
"PNP-Transistor","Q1","TO92 [THT]","2N3904"
"Diode","CR1","diode-1n4148","1N4148"
"IC","IC1","DIP (Dual Inline) [THT]","LM331N"
